episode,epsilon,total_reward,steps,rolling_reward_100
1814,0.6374,0.3292056748755294,10,-0.5801287133462486
1815,0.6372,3.688189328574673,10,-0.5639850608737581
1816,0.637,2.531428913510139,10,-0.4952661619539133
1817,0.6368,0.5090727455837436,10,-0.5213537952250735
1818,0.6366,-2.9110695165422067,10,-0.5415094976725452
1819,0.6364000000000001,-6.372116593252856,10,-0.6456738356287898
1820,0.6362,0.5978905405308819,10,-0.6455795588580397
1821,0.636,-0.8203659372664439,10,-0.6263428462984661
1822,0.6357999999999999,0.43698934112625776,10,-0.6303008140161225
1823,0.6355999999999999,4.62329659671437,10,-0.49879382101143854
1824,0.6354,2.413871172874392,10,-0.5039582421353843
1825,0.6352,0.7501554506053889,10,-0.4908612301649663
1826,0.635,0.6284175446614153,10,-0.4900648053590014
1827,0.6348,-1.0320910201914542,10,-0.4737370914380359
1828,0.6346,4.578933170966088,10,-0.4375883013943929
1829,0.6344000000000001,-1.0327488918175307,10,-0.46735882411434104
1830,0.6342,3.4689628014320517,10,-0.4138593346317097
1831,0.634,2.540260710536245,10,-0.39970196419906046
1832,0.6337999999999999,1.1759877234153424,10,-0.3953964538202892
1833,0.6335999999999999,1.1024423424256278,10,-0.3957360213396601
1834,0.6334,-0.3270440567375714,10,-0.4132440308867094
1835,0.6332,1.3062308002672727,10,-0.3896574063996921
1836,0.633,2.6473375925378475,10,-0.3348883278831448
1837,0.6328,-1.2279274337266675,10,-0.3625367393326624
1838,0.6326,4.310701141642089,10,-0.2857457802652335
1839,0.6324000000000001,-2.523543779674529,10,-0.2778226170885063
1840,0.6322,-0.3207740265047833,10,-0.2558756463871657
1841,0.632,-4.2994180948925775,10,-0.22583578032873267
1842,0.6317999999999999,-2.346887159889664,10,-0.2236890352047402
1843,0.6315999999999999,2.3088926049347838,10,-0.21079745914230366
1844,0.6314,1.4771929183848354,10,-0.23338314319737208
1845,0.6312,3.6174107892987415,10,-0.19145527194823672
1846,0.631,1.1885149279416847,10,-0.19061374114334842
1847,0.6308,-2.373864481235269,10,-0.253667835719931
1848,0.6306,-2.9483322829634337,10,-0.2768520664938357
1849,0.6304000000000001,0.1620547837365337,10,-0.2688447584704024
1850,0.6302,-2.963968896529309,10,-0.2799150895597084
1851,0.63,0.9384184837033586,10,-0.23766231815225353
1852,0.6298,2.1175832913650865,10,-0.19700791368168744
1853,0.6295999999999999,3.531354440839144,10,-0.15228183617213623
1854,0.6294,-4.012034473006397,10,-0.18751525169356748
1855,0.6292,-0.6801849305826996,10,-0.16399797320978743
1856,0.629,-1.59563768703765,10,-0.20154217441792047
1857,0.6288,-5.6072236586552435,10,-0.21815554834499187
1858,0.6286,-3.428308700539649,10,-0.21215166365565324
