solution_id,GDP_gain,Inequality_MAD,Emission,Net_security_risk,Total_budget,H_total,Max_digital_after,Min_digital_after,C1_total_budget,C2_region_floor,C3_region_cap,C4_H_floor,C5_fairness,TOPSIS_score,TOPSIS_rank
50,46079.23643215337,0.2190535966483759,1250.7154469352736,-4665.4532290585485,49056.87342947918,18747.18183627035,82.00011654845542,55.78542581462139,0.0,0.0,0.0,0.0,0.0,0.8290907850184248,3
51,47075.47225942857,0.19934813612774657,2294.6259414771357,-3868.8948172922765,49745.566359933175,17353.332643051446,82.0000164369594,55.82095696470647,0.0,0.0,0.0,0.0,0.0,0.6964156505218347,36
52,48138.97305607541,0.20979538337225873,4094.4405852486025,-1133.6371857781842,49773.23456276669,14324.59911216016,82.00011076237185,55.79001018915214,0.0,0.0,0.0,0.0,0.0,0.293064284410065,77
53,47160.27632953112,0.2384843983722341,1960.7719396302882,-4496.173561634743,49956.828687044865,18847.236382275023,82.00000992159588,55.77686954092283,0.0,0.0,0.0,0.0,0.0,0.7258000452870466,32
54,47956.064585793894,0.1991624497725459,2616.7933336852884,-3494.803523041247,49871.50233158396,18541.503161400742,82.00011822524176,55.78472980561124,0.0,0.0,0.0,0.0,0.0,0.6313601358522453,48
55,47287.720686048284,0.23054721857663293,2010.3934923791735,-3955.9545269616137,49684.17207821658,18263.204809650466,82.00011467288068,55.777343879336414,0.0,0.0,0.0,0.0,0.0,0.7022521791191667,35
56,46884.0747439364,0.200016199566156,2149.953840538828,-4609.697764077179,49785.0128750531,17946.355765841916,82.00012134810429,55.77615163943001,0.0,0.0,0.0,0.0,0.0,0.7579692242066726,25
57,48240.021242128976,0.2051516248856712,4806.122651275443,-1229.6727973482084,49874.52901176311,14039.124352871226,82.0001106351492,55.78546247471547,0.0,0.0,0.0,0.0,0.0,0.2522965776193986,84
58,49128.230848513515,0.2549985489365219,5047.218183363848,-384.49163257835517,49909.92119920326,13899.318498483066,82.00011436457831,55.785932820776,0.0,0.0,0.0,0.0,0.0,0.13181584351126302,98
59,47173.93003061213,0.21877104771855785,2591.1334216193777,-3722.207224047397,49949.70049905248,18302.456457640867,82.00011054977706,55.78517915811011,0.0,0.0,0.0,0.0,0.0,0.6296377561118964,49
60,47049.206652363486,0.22790313021242392,1691.037923974373,-4379.858081735937,49542.69126820084,18982.9373796735,82.00011629994552,55.77592751574687,0.0,0.0,0.0,0.0,0.0,0.7655222202191181,24
61,48069.69869056871,0.2116483344127124,4181.568922164231,-1456.1821476652499,49592.07718027932,15154.113798589264,82.00011139495777,55.78538506680299,0.0,0.0,0.0,0.0,0.0,0.298826373667471,73
62,48983.375765674165,0.25892643615160843,5000.40686545499,-424.3110915744396,49822.95470863979,13895.41933090392,82.00011403916271,55.785932820776,0.0,0.0,0.0,0.0,0.0,0.12609011745687526,100
63,48246.77882351346,0.21472084826870316,4181.568922164231,-1499.7711034670333,49728.29266715988,15290.329285469837,82.00011139495777,55.78538506680299,0.0,0.0,0.0,0.0,0.0,0.2976901047094219,75
64,47775.5122546995,0.1959071297991117,4777.007434336176,-1262.3535665143604,49937.03592151384,13929.583425895637,82.0001164424412,55.78563196599775,0.0,0.0,0.0,0.0,0.0,0.2692674507442899,83
65,48395.84278476549,0.20583446379457593,4190.768000229543,-1059.566613711807,49958.4575988436,14335.003182327542,82.00011086323879,55.7898739749366,0.0,0.0,0.0,0.0,0.0,0.28806710390659107,80
66,48939.99075645411,0.21757716577636604,4899.401100289009,-566.0007860075461,49999.40808695174,14444.858264040216,82.00011075558402,55.78545034153515,0.0,0.0,0.0,0.0,0.0,0.20405321926406375,89
67,46658.11014559838,0.18046913200904455,2057.817366003129,-3926.8193592365283,49978.59513833655,17275.800451853116,82.00000796326712,55.7756893672317,0.0,0.0,0.0,0.0,0.0,0.742494864765154,31
68,47452.544507834515,0.25869889941944235,2506.4077458749516,-3582.486881600897,49698.185541296465,17970.955340612047,82.00009646992173,55.78545034153515,0.0,0.0,0.0,0.0,0.0,0.5858198276526961,57
69,46913.299248251125,0.1990069158122461,2178.7146612095935,-4588.24084063113,49827.53301277358,17935.417039504468,82.00011086143512,55.77577825599766,0.0,0.0,0.0,0.0,0.0,0.7540402020153641,26
70,47099.99697353696,0.22317814025227586,2374.281690511694,-3668.52925590392,49863.40808894847,17768.2105723699,82.0001109989822,55.785609198764405,0.0,0.0,0.0,0.0,0.0,0.6483793543802688,42
71,47719.275706218505,0.22974730315430297,2533.9876610149463,-3824.689545648277,49985.057235337845,18384.23456913575,82.00011472768625,55.77686954092283,0.0,0.0,0.0,0.0,0.0,0.6330326017994271,46
